0.,0.
0.01,0.002445123094194479
0.02,0.006758989482848748
0.03,0.012202459139763507
0.04,0.018514962893438472
0.05,0.025547410837306155
0.06,0.03320015683595615
0.07,0.04140071695865321
0.08,0.05009342671999048
0.09,0.059233881769726
0.1,0.0687856644811158
0.11,0.07871824698398504
0.12,0.08900559422520124
0.13,0.0996251942747674
0.14,0.11055734589336694
0.15,0.1217846427717813
0.16,0.13329156676469817
0.17,0.14506419346144814
0.18,0.15708993935776216
0.19,0.1693573748242298
0.2,0.18185605902058755
0.21,0.1945764166329776
0.22,0.20750962832486353
0.23,0.22064754183854832
0.24,0.23398259625603596
0.25,0.24750775771106942
0.26,0.2612164643372453
0.27,0.27510257882212
0.28,0.2891603472748057
0.29,0.30338436284889886
0.3,0.317769536401068
0.31,0.33231106578385844
0.32,0.3470044134232172
0.33,0.3618452838303867
0.34,0.3768296089936969
0.35000000000000003,0.39195351532120887
0.36,0.4072133302859146
0.37,0.4226055544655313
0.38,0.4381268510891033
0.39,0.45377403691116946
0.4,0.46954406903075013
0.41000000000000003,0.4854340409300973
0.42,0.5014411663711809
0.43,0.5175627765282255
0.44,0.5337963115724244
0.45,0.5501393140799067
0.46,0.5665894229696727
0.47000000000000003,0.5831443679185265
0.48,0.599801964206338
0.49,0.6165601106039271
0.5,0.633416774422104
